Case #1: Impossible
Case #2: 104
15 12 10795
12 14 14849
5 19 18879
16 4 20183
14 2 24287
6 11 33501
19 11 34921
6 19 36338
19 1 41038
18 7 50539
17 11 52661
17 19 55498
6 3 56966
4 10 62992
3 5 74425
17 3 76126
16 10 83175
16 1 86985
18 13 89328
11 3 90467
11 13 93020
8 14 97333
17 16 101445
1 4 107168
19 16 118623
8 2 121620
6 13 126521
20 6 127131
14 13 131100
20 9 131680
1 20 131831
9 5 133220
11 4 135969
13 12 137841
3 4 138653
19 4 138806
17 13 145681
17 20 146291
9 12 149658
9 6 150679
9 1 155379
13 2 155387
18 5 158610
14 9 164507
6 7 165310
7 15 165835
12 7 166181
9 17 169839
7 14 169889
1 10 170160
19 15 174117
14 18 179095
1 18 180769
5 15 181318
7 17 184470
16 7 185599
11 14 193306
7 2 194176
18 17 195229
15 11 197360
6 15 198777
10 11 198961
1 14 199423
5 2 201551
10 19 201798
3 9 207645
13 16 208806
14 17 213883
1 12 214272
11 2 217593
4 20 219142
7 3 222276
2 1 223710
17 12 228732
8 3 228774
9 16 232964
18 3 233035
16 18 236138
2 17 238170
13 10 242613
14 3 251689
7 20 257523
20 12 260467
3 12 266538
8 7 267222
18 20 268282
2 20 269905
8 11 273999
6 8 275416
2 3 275976
16 2 276389
8 18 276428
14 16 277008
8 1 280116
7 9 281071
10 20 282134
16 12 291857
2 4 296572
15 10 301139
4 15 301245
10 14 305193
12 4 312040
18 10 319313
4 8 367427
Case #3: 43
4 3 6479
6 9 29794
11 4 49811
4 9 50215
11 3 56290
4 2 64424
6 11 70232
2 6 84845
2 11 114235
2 9 114639
4 8 164438
8 3 170917
1 11 182314
9 1 184756
8 6 184859
8 11 214249
6 1 214550
8 9 214653
3 5 215343
3 1 228492
6 5 229285
10 4 235446
10 3 241925
6 10 255867
9 5 259079
5 11 271633
10 9 285661
1 2 296549
2 10 299870
3 7 347065
4 7 353544
7 9 362917
1 10 367949
7 5 379027
8 5 386260
8 1 396563
10 8 399884
7 11 403355
2 7 417968
10 5 457268
8 7 517982
7 1 547673
7 10 588990
Case #4: 85
15 5 33235
27 37 42133
21 18 58005
30 5 66473
18 27 77481
27 12 96961
30 11 113301
35 1 123628
24 10 127982
2 18 151028
21 1 160609
31 12 165614
27 3 174598
7 27 177519
16 34 187405
30 17 193390
31 16 196939
1 7 202642
23 37 218940
22 18 222487
30 10 240073
32 20 251824
32 21 254338
16 36 256615
3 11 267610
21 15 270386
24 21 282769
27 30 290579
5 18 295156
32 7 296371
3 8 296402
37 31 304708
27 13 309013
5 34 311962
19 37 312108
33 30 319602
6 27 320353
29 23 323656
24 7 324802
35 12 329978
33 12 330775
13 33 338036
32 29 348867
33 8 349000
27 24 366523
1 29 367763
1 19 379364
12 36 380507
22 11 392980
2 6 393900
6 30 395302
15 12 401968
32 36 402398
13 12 405974
12 28 407091
35 10 409113
29 34 422471
2 36 427789
21 14 432991
22 16 448197
6 16 453386
4 16 453717
22 6 465359
7 14 475024
28 16 475577
34 10 485562
28 13 495760
6 23 497160
32 14 505991
14 5 539400
15 20 540578
36 29 541920
4 2 560192
26 22 566698
16 26 569921
20 31 579725
29 28 585722
36 14 586419
14 22 597473
24 4 619846
36 4 640546
31 4 646610
4 3 666110
10 26 669523
10 25 676972
