100
33 105
33 20 13
4 2 13
4 14 13
25 27 27
20 31 20
15 8 13
24 17 13
8 11 13
1 32 7
2 10 13
7 10 13
16 11 13
32 15 13
31 7 18
7 22 20
21 5 13
15 1 13
14 24 13
15 1 13
15 27 13
12 26 13
3 26 13
11 7 18
28 25 13
6 29 13
15 11 13
21 7 13
8 25 13
26 27 27
32 10 13
21 25 13
9 6 13
13 4 13
6 21 13
26 28 13
3 2 13
32 13 13
26 21 13
15 13 13
9 32 18
29 16 13
24 23 20
2 23 13
28 4 13
19 12 18
3 31 20
14 28 13
23 26 13
27 31 13
19 24 20
8 29 13
28 27 13
2 19 13
13 30 13
2 28 13
24 28 13
5 28 13
32 33 13
19 3 20
31 1 18
14 20 13
19 10 13
18 16 13
15 19 13
7 6 13
21 3 13
14 30 13
31 4 13
32 21 13
7 25 13
26 4 13
17 30 13
18 17 9
1 6 13
28 19 13
14 5 13
28 11 13
18 26 13
21 12 13
29 22 20
23 19 20
3 24 20
31 19 18
4 20 13
7 3 20
15 17 13
4 27 13
16 3 13
19 4 13
13 25 13
16 17 13
18 9 18
33 21 13
9 1 18
19 32 18
32 5 13
15 14 14
24 33 13
22 29 20
28 32 13
29 22 20
27 28 13
31 11 18
24 3 20
14 33 13
31 63
7 17 20
5 26 3
18 5 17
10 12 3
17 15 15
19 26 3
2 1 2
22 30 26
8 16 15
3 6 3
16 3 3
8 10 10
3 31 3
8 29 3
9 13 13
11 4 20
8 28 15
30 4 3
11 4 20
24 5 17
9 28 15
25 27 30
2 31 3
1 11 20
7 21 3
22 3 3
27 5 3
9 18 17
11 10 15
24 12 3
31 3 3
26 27 26
11 23 20
31 4 3
17 22 3
4 7 20
12 25 3
8 5 15
16 4 20
14 22 3
5 12 3
27 17 3
17 25 3
25 28 3
3 17 3
13 26 3
14 28 15
17 29 3
4 5 20
22 9 3
29 25 25
27 2 3
25 14 3
11 28 15
4 15 20
6 19 3
23 31 3
10 24 15
7 14 20
28 31 3
5 22 3
31 8 3
29 1 3
60 120
58 19 43
1 31 43
11 23 30
23 25 30
13 30 30
22 50 43
26 56 43
15 51 30
22 47 43
57 55 30
60 15 43
1 21 43
22 4 43
60 41 43
27 8 43
1 31 43
45 50 30
26 25 20
45 19 35
11 37 30
51 12 20
45 57 30
20 53 43
14 25 30
26 36 30
31 24 43
48 11 30
60 22 43
33 25 43
60 54 43
3 1 43
23 21 30
53 21 43
9 17 43
55 7 43
54 43 43
38 43 43
6 29 30
39 35 30
40 32 35
2 9 43
4 23 30
49 60 43
34 37 30
48 42 34
42 14 34
20 39 30
8 34 34
2 28 43
43 48 43
2 44 43
4 35 30
18 2 43
37 60 43
38 45 30
44 50 30
3 2 43
43 28 43
14 9 43
39 38 34
16 11 30
27 44 43
9 40 43
44 45 30
47 15 30
56 16 43
49 37 30
4 50 30
46 29 43
55 1 43
37 22 43
23 26 30
53 47 43
57 39 34
36 17 43
54 18 30
25 16 30
42 48 34
11 38 30
10 54 43
17 54 43
19 42 30
53 30 43
3 46 3
28 5 43
52 51 30
56 14 43
8 28 43
40 55 30
17 34 43
38 43 43
47 20 20
13 28 43
18 1 43
32 8 30
53 17 43
13 24 43
27 57 43
55 21 30
29 21 34
40 60 43
45 5 30
58 27 27
32 38 30
33 32 43
37 16 30
39 14 34
3 16 30
23 21 30
50 16 30
3 48 30
22 19 43
52 34 30
2 4 43
24 35 43
38 52 30
31 53 43
24 14 43
29 2 43
58 8 43
31 32
2 1 9
10 19 9
20 7 5
18 8 19
12 25 9
2 25 20
30 2 2
28 16 5
13 19 19
21 4 5
7 9 9
20 9 9
21 27 9
21 7 5
30 6 9
5 1 9
6 2 9
17 27 9
2 6 9
1 3 3
9 24 9
17 10 5
7 12 9
1 26 9
24 11 5
9 7 9
29 5 5
20 15 20
8 1 19
7 4 5
14 26 9
31 3 9
3 3
1 2 2
2 3 3
3 1 1
49 37
22 7 27
23 17 27
31 26 27
35 5 15
14 7 27
11 24 27
31 18 27
18 5 27
43 4 27
9 20 27
43 22 26
38 14 27
11 5 27
46 42 10
12 27 27
48 29 27
2 22 27
12 18 10
39 29 26
9 20 27
4 21 10
38 28 26
23 29 26
26 22 26
15 6 26
19 47 27
15 45 26
44 45 27
42 34 10
31 24 27
23 32 26
28 38 26
16 13 26
9 3 27
27 42 27
23 47 27
20 26 27
14 12
12 11 11
2 1 2
8 12 11
3 7 11
9 11 11
6 1 2
8 2 11
10 2 10
1 6 2
12 2 10
9 8 11
9 14 10
10 95
3 6 9
9 10 10
10 3 10
5 9 10
7 8 8
4 6 10
2 6 8
8 6 8
3 4 10
10 4 10
7 1 8
4 10 10
10 9 10
3 8 8
1 6 8
6 1 8
6 1 8
3 5 10
4 7 7
3 4 10
7 4 7
1 4 8
6 4 10
10 6 10
4 2 10
1 10 8
3 7 10
1 9 8
3 2 10
6 5 5
8 3 8
3 5 10
3 6 10
6 5 5
4 10 10
3 4 10
6 5 5
9 10 10
6 1 8
1 5 8
5 8 8
10 7 10
9 5 10
9 10 10
3 4 10
3 6 10
4 8 8
3 7 10
7 3 10
9 2 10
5 9 10
7 3 10
3 7 10
9 1 8
6 4 10
6 3 10
1 2 8
6 2 10
5 10 10
7 1 8
2 3 10
4 3 10
1 5 8
4 5 10
10 7 10
7 5 10
6 3 10
1 3 8
3 7 10
2 10 10
6 5 5
10 2 10
9 4 10
4 7 7
3 6 10
9 8 8
5 1 8
8 6 8
8 10 8
2 6 10
8 2 8
8 3 8
1 4 8
9 8 8
7 3 10
10 5 10
6 8 8
9 1 8
8 9 8
10 6 10
1 10 8
8 2 8
9 7 10
5 9 10
8 6 8
32 98
18 1 2
14 5 2
18 27 26
13 1 2
30 9 2
15 17 15
9 12 2
23 29 2
1 32 5
23 17 2
28 4 2
13 18 2
16 22 2
17 25 2
29 6 2
26 2 26
20 18 19
3 16 16
30 14 14
25 13 2
23 1 2
13 20 15
30 13 2
23 1 2
3 10 2
32 27 26
2 9 20
22 29 2
6 32 2
1 18 2
28 26 32
32 14 29
2 7 2
26 7 26
15 2 15
7 10 2
12 7 2
32 31 15
16 15 15
9 19 2
22 9 2
32 11 2
20 6 22
9 26 26
22 16 2
15 6 17
19 23 2
16 18 2
20 12 15
28 32 2
16 19 2
1 24 28
15 6 15
1 9 2
17 25 2
6 12 2
19 24 26
12 10 2
14 9 2
15 2 7
22 28 21
26 18 26
24 18 26
5 1 5
27 2 26
7 28 2
20 12 15
25 9 2
20 22 15
10 9 2
32 28 2
22 29 2
10 7 2
25 18 25
5 2 2
3 6 2
32 10 2
15 28 14
25 6 2
12 11 2
2 12 2
12 7 2
3 22 2
19 9 2
22 2 2
3 9 16
29 6 2
1 2 2
4 26 23
9 4 2
10 1 2
31 11 15
24 6 26
11 2 2
32 26 26
4 29 2
10 3 2
31 20 20
30 40
12 11 17
4 26 17
19 11 17
4 8 17
28 20 17
10 19 17
10 23 23
7 15 7
18 25 17
2 23 17
4 26 17
22 10 17
1 27 17
21 2 17
15 18 17
8 7 17
11 24 28
30 10 17
29 16 17
23 21 17
9 10 17
7 20 7
25 6 4
27 26 17
9 18 17
10 15 17
26 2 17
30 10 17
9 1 17
6 28 17
8 25 25
8 28 17
10 21 17
20 1 17
20 18 17
23 7 17
1 27 17
4 25 17
19 6 7
9 2 17
41 72
30 2 29
16 40 29
3 13 13
28 39 29
6 14 29
6 29 29
15 33 29
12 37 29
38 39 29
38 36 13
4 26 13
24 33 29
38 6 29
25 13 29
40 3 29
13 15 29
10 39 29
9 20 29
17 23 29
36 38 13
24 19 24
2 21 29
3 8 29
4 14 29
27 39 29
19 38 13
5 41 29
33 31 29
38 39 29
37 26 29
3 18 9
9 7 7
15 5 29
33 31 29
31 8 29
16 33 29
14 29 29
15 3 29
15 35 29
32 33 29
2 3 29
25 2 29
17 23 29
13 30 29
1 13 29
30 24 29
12 15 29
38 40 29
36 26 36
20 6 29
6 37 29
26 41 29
37 17 29
19 26 13
9 22 29
39 31 29
22 3 29
41 19 29
28 11 29
18 13 17
25 28 29
15 27 29
26 13 13
1 17 29
21 1 29
5 26 29
26 3 26
39 4 29
12 13 29
38 2 29
20 26 29
40 38 29
60 116
1 3 1
1 4 1
2 3 2
2 4 2
3 5 3
3 6 3
4 5 4
4 6 4
5 7 5
5 8 5
6 7 6
6 8 6
7 9 7
7 10 7
8 9 8
8 10 8
9 11 9
9 12 9
10 11 10
10 12 10
11 13 11
11 14 11
12 13 12
12 14 12
13 15 13
13 16 13
14 15 14
14 16 14
15 17 15
15 18 15
16 17 16
16 18 16
17 19 17
17 20 17
18 19 18
